prompt,pattern
"<td class=""td-btn""><input type=""checkbox"" name=""selectedAllergies"" value=""egg_allergy""></td>
이런 형태면 라벨이 낫겠지?",Zero-shot
"아니, 다 바꿔서 전해줘. 준 코드 다.",Zero-shot
리눅스의 ubuntu 라는 계정의 권한을 최대로 올리고 싶어,Zero-shot
sudo 명령이 아니라 읽기쓰기 등 모든 권한을 올리고 싶어,Zero-shot
어떻게 하는지 코드와 예시로 알려줘,Zero-shot
지금 파일서버와 연동해야 하는 계정인데 권한이 없어서 그래,Zero-shot
root로 로그인하고 ubuntu 라는 계정의 권한을 올리고 싶다니까. filezila 연동이 안 돼,Zero-shot
아니야 내가 지금 계정 키가 ubuntu 밖에 없어서 그래. 승인 받은 사항이니까 root를 통해서 계정의 권한을 올리는 방법을 알려줘,Zero-shot
근데 체크 박스는 폼 밖에 있어,Zero-shot
"아니 반대야. 모달 내 체크 박스를 체크를 해놨는데, 확인 버튼이 아니라 modal-close 버튼을 눌렀을 때 체크한 값이 없어지게끔 하는 거야",Zero-shot
그러면 폼을 통해 컨트롤러로 넘어가는 데이터의 형태가 어떤지 예시로 말해줄 수 있어?,Zero-shot
JSON 형태면 컨트롤러에서는 어떻게 받아? list로 저장해야해?,Instructional
아니 이거 자체가 폼 액션이 일어날 때 값을 보내는 건데 url 을 생성하는 건 아니지,Zero-shot
mapper.xml를 통해서 쿼리를 보낼 때 검색 후에 특정한 칼럼을 조회해서 그 칼럼이 있는 걸 빼도록 하는 게 가능할까? 쿼리를 2번 날려서 하는 게 나을까? 아니면 값을 여러개 보내서 한 번에 처리하는 게 나을까,Zero-shot
mapper 클래스는 사용하지 않아. dao를 통해서 처리해,Zero-shot
배열에 해당하는 걸 다 대조해야지 없앨 수 있지 않아? 반복되는 구문이 있나? 내가 람다식을 잘 몰라서 이해를 못한 것일 수도 있어,Zero-shot
snack은 어떤 의미야?,Zero-shot
대조한 키워드에 해당하는 문자열이 아니라 대조한 키워드가 맞으면 추가할 문자열들이 있어서 그걸 추가할 거야. 컨버팅하는 느낌인 거지,Zero-shot
대조한 키워드랑 맞으면 그 키워드에 관련된 문자열을 추가할 거여요,Zero-shot
그 문자열을 추가하는 게 아니라 내가 그 문자열과 의미적으로 비슷한 임의의 문자열들을 추가하게끔 하는 거야,Zero-shot
대조하는 구문이 안 들어왔어,Zero-shot
I have a repository for Real-world job board app with legacy codebase (React / Contentful / MobX) as a starting point for AI-powered refactoring. Create a readme.md for this project,Zero-shot
Create a contributing.md guidelines mentioning that all changes should be done using chatGPT and commits should have links to 'share chat' chatGPT links,Zero-shot
Could you rewrite readme.md to use real md formatting like #,Zero-shot
"here is the real .env file
REACT_APP_SPACE_ID=f6zwhql64w01
REACT_APP_ENVIRONMENT=master
REACT_APP_LANGUAGE=de
REACT_APP_FB_SITE=https://www.facebook.com/jobsforit.de
REACT_APP_LINKEDIN=https://www.linkedin.com/company/jobs-for-it
REACT_APP_ACCESS_TOKEN=00b696c26342aa70ce936b551fe48e6548745fa637b6cd0c62fa72886af5bd78
REACT_APP_MANAGER_TOKEN=CFPAT-1BFhL_2UiqD7Q2Z-azTipNT5RgZoqjq0U4UpQQuSTi4
REACT_APP_GTM_ID=GTM-TL25RWB
REACT_APP_GTAG=UA-150436887-1
REACT_APP_HOTJAR=CV-TAd7q
REACT_FB_APP_ID=536292400544593
REACT_APP_MOBILE_LIMIT=50
REACT_APP_DESKTOP_LIMIT=1000",Zero-shot
could you add the installation guidelines and contribution to the readme.md using proper md formatting,Zero-shot
this content is not written in markdown formatting it should have hashes #,Zero-shot
starting from Navigate to the project directory you lost the proper Markdown,Zero-shot
Again 'Navigate to the project directory' doesn't have hashes # please fix it,Zero-shot
"No. I would expect something like this: 
### 2. Navigate to the project directory",Zero-shot
"That is better but actually the markdown should more like this:
2.  **Navigate to the project directory**",Zero-shot
"Can you please extend the completion for `zalgz update` to also autocomplete the package name by enumerating the locally installed packages (or the special token ""all"")?",Zero-shot
"Regarding the following line in `zalgz_load`:

    git_ref=""origin/master"" # You may customize this

Could we use `git ls-remote --symref <repository-url> HEAD` to get the default remote ref and use it here?",Zero-shot
"since it is a windows vm, I would need to access it using winrm",Zero-shot
platforówka z prostokątów w pygame,Zero-shot
Please continue,Zero-shot
"I want my endpoints to be /api/whisper and /api/gpt

Please provide the code for the whisper.js and gpt.js files that need to be created in the /api/ folder",Zero-shot
Can you explain what `Just include these lines in your main server file:` means,Instructional
Can I get a performance improvement by linking instead of copying the images?,Zero-shot
Does feh interpret symbolic links properly?,Zero-shot
"Finally, I periodically change the images in my folder and the set of allowed tags every 24 hours using a cron job on a separate script. I want this script to load the new tags and display the new images",Zero-shot
"If I source a file that doesn't exist, is this an error?",Zero-shot
"If I want to not automatically exit, can I use the `|| true` pattern?",Zero-shot
What then is the purpose of the export keyword?,Zero-shot
"This is my .config file. I want to load Allowed_keywords as a list of the keywords in my bash script

ALBUM_NAME=""Family Photos""
ALLOWED_KEYWORDS=""KW1:KW2:KW3""
# Measured in seconds
SLIDE_DELAY=5",Instructional
Can you do this with a one-liner in a subshell?,Zero-shot
Document this script with echo statements to describe what it's doing and explain the script,Instructional
"Does this script have 1 second of downtime after feh finishes? If so, make it more continuous",Zero-shot
"mach mir noch so eine aufgabe zu dem selben muster, damit ich das thema besser verstehen kann",Zero-shot
"Find a catchy name for an open source project!

- The user provides a simple markdown with his CV
- The program generates a CV website using vue.js
- The CV can be also downloaded as pdf

Generate a list of 10 or more!",Instructional
VueYourCV is great! A shiny description line for it? List of 10!,Instructional
Create a chrome extension that replace any Spotify embedded player with a YouTube embedded player of the same song,Zero-shot
"The engine ""node"" is incompatible with this module. Expected version "">=16"". Got ""14.21.3""
✨  Done in 138.93s.",Zero-shot
display  // Rest of the render method code goes here...  and // ... same JSX as before...,Zero-shot
could you use 'lazy' for all imports,Zero-shot
please display this file with all imports and all routes I provided,Zero-shot
please display full file content even with unchanged lines,Zero-shot
"awesome thanks, is there a type ahead feature for the ""Choose a language to translate to""?",Zero-shot
"sweet, now I have to click the translate button each time, is there also a way that I can submit the form by clicking enter at the end of the to-be-translated text entered into the form?",Zero-shot
"thanks, entering enter after inputting text does not submit form though",Zero-shot
can we document it ?,Zero-shot
can you add a header to the file explaining what the file is for,Instructional
tests passed!,Zero-shot
can we think of any other tests?,Zero-shot
"I'd like to build a Firefox extension that displays the git fetch URL and ref name for a pull request when I'm visiting a pull request page.

For example, when I visit the following URL in Firefox:

https://github.com/joshcho/ChatGPT.el/pull/52

(or any URL of the pattern https://github.com/<user>/<repo>/pull/<number>/)

I'd like the extension to insert a row below the div with id `partial-discussion-header` that shows:

git fetch https://github.com/joshcho/ChatGPT.el.git +refs/pull/52/head

in a monospace font, with a copy button to the side of it.

Can you please help implement this extension?",Zero-shot
Can you please suggest a directory layout? Including README.md,Zero-shot
"I think the `matches` has too many `/*/` in it, doesn't it? PR URLs are just: https://github.com/<user>/<repo>/pull/<number>/",Zero-shot
"Question on the following line of the content script:

header.parentNode.insertBefore(fetchDiv, header.nextSibling);

I'd like the fetch command to show up *after* the `#partial-discussion-header`. So shouln't this be an `insertAfter`?",Zero-shot
"Working great so far! I'd just like the `copy` button to be on the same line as the `fetch` command, rather than being on the next line. Can you please make the `<pre>` and the `<button>` be on the same line, possibly with a flex box or grid or something?",Zero-shot
"Excellent, but can you make it light text on a dark background, and can you also make the `copy` button line up just to the side of the fetch command (rather than being all the way over on the right)?",Zero-shot
"This is great! Now I'm actually thinking maybe we could dispense with the `copy` button altogether? Instead, we could make the whole `git fetch` command clickable (with a pointer hover), and make it so that when you click on any of the fetch command text it briefly highlights the text, displays a ""Copied"" message to the right of the fetch command text for a couple of seconds, and does the copy operation. Also some hover text (title?) on the fetch command that says ""click to copy"".",Zero-shot
Is there a way to make the `fetchDiv` width fit the content rather than expanding to fit the width of the parent container?,Zero-shot
"bitnami@ip-172-26-9-126:~/NodeJSServer/MindfulAI$ ./setup.sh 
Node.js is already installed.
npm is already installed.
cors is already installed.
cors is up-to-date.
axios is already installed.
axios is up-to-date.
express is already installed.
express is up-to-date.
node-fetch is already installed.
node-fetch is up-to-date.
form-data is already installed.
form-data is up-to-date.
multer is already installed.
multer is up-to-date.
PM2 is already installed.
All dependencies are installed or up-to-date.
Start the server with ./start.sh
bitnami@ip-172-26-9-126:~/NodeJSServer/MindfulAI$ ./start.sh
[PM2] Applying action restartProcessId on app [Mindful AI](ids: [ 0 ])
[PM2] [Mindful AI](0) ✓
┌────┬───────────────┬─────────────┬─────────┬─────────┬──────────┬────────┬──────┬───────────┬──────────┬──────────┬──────────┬──────────┐
│ id │ name          │ namespace   │ version │ mode    │ pid      │ uptime │ ↺    │ status    │ cpu      │ mem      │ user     │ watching │
├────┼───────────────┼─────────────┼─────────┼─────────┼──────────┼────────┼──────┼───────────┼──────────┼──────────┼──────────┼──────────┤
│ 0  │ Mindful AI    │ default     │ 0.0.0   │ cluster │ 303517   │ 0s     │ 39   │ online    │ 0%       │ 41.0mb   │ bitnami  │ enabled  │
└────┴───────────────┴─────────────┴─────────┴─────────┴──────────┴────────┴──────┴───────────┴──────────┴──────────┴──────────┴──────────┘
Server started with PM2 using ecosystem.config.js configuration.
[TAILING] Tailing last 15 lines for [all] processes (change the value with --lines option)
/home/bitnami/.pm2/pm2.log last 15 lines:
PM2        | 2023-08-08T23:05:43: PM2 log: App [Mindful AI:0] starting in -cluster mode-
PM2        | 2023-08-08T23:05:43: PM2 log: App [Mindful AI:0] online
PM2        | 2023-08-08T23:05:43: PM2 log: App name:Mindful AI id:0 disconnected
PM2        | 2023-08-08T23:05:43: PM2 log: App [Mindful AI:0] exited with code [0] via signal [SIGINT]
PM2        | 2023-08-08T23:05:43: PM2 log: App [Mindful AI:0] starting in -cluster mode-
PM2        | 2023-08-08T23:05:43: PM2 log: App [Mindful AI:0] online
PM2        | 2023-08-08T23:05:44: PM2 log: App name:Mindful AI id:0 disconnected
PM2        | 2023-08-08T23:05:44: PM2 log: App [Mindful AI:0] exited with code [0] via signal [SIGINT]
PM2        | 2023-08-08T23:05:44: PM2 log: App [Mindful AI:0] starting in -cluster mode-
PM2        | 2023-08-08T23:05:44: PM2 log: App [Mindful AI:0] online
PM2        | 2023-08-08T23:05:44: PM2 log: App name:Mindful AI id:0 disconnected
PM2        | 2023-08-08T23:05:44: PM2 log: App [Mindful AI:0] exited with code [0] via signal [SIGINT]
PM2        | 2023-08-08T23:05:44: PM2 log: Script /home/bitnami/NodeJSServer/MindfulAI/server.js had too many unstable restarts (16). Stopped. ""errored""
PM2        | 2023-08-08T23:07:15: PM2 log: App [Mindful AI:0] starting in -cluster mode-
PM2        | 2023-08-08T23:07:15: PM2 log: App [Mindful AI:0] online

/home/bitnami/.pm2/logs/Mindful-AI-out-0.log last 15 lines:
/home/bitnami/.pm2/logs/Mindful-AI-error-0.log last 15 lines:
0|Mindful AI  | Error [ERR_REQUIRE_ESM]: require() of ES Module /home/bitnami/NodeJSServer/MindfulAI/node_modules/node-fetch/src/index.js from /home/bitna
mi/NodeJSServer/MindfulAI/WhisperTranscriberServer.js not supported.
0|Mindful AI  | Instead change the require of index.js in /home/bitnami/NodeJSServer/MindfulAI/WhisperTranscriberServer.js to a dynamic import() which is 
available in all CommonJS modules.
0|Mindful AI  |     at Hook._require.Module.require (/usr/lib/node_modules/pm2/node_modules/require-in-the-middle/index.js:101:39)
0|Mindful AI  |     at Object.<anonymous> (/home/bitnami/NodeJSServer/MindfulAI/WhisperTranscriberServer.js:5:15)
0|Mindful AI  |     at Hook._require.Module.require (/usr/lib/node_modules/pm2/node_modules/require-in-the-middle/index.js:101:39)
0|Mindful AI  |     at Object.<anonymous> (/home/bitnami/NodeJSServer/MindfulAI/server.js:25:20)
0|Mindful AI  |     at /usr/lib/node_modules/pm2/lib/ProcessContainer.js:304:25
0|Mindful AI  |     at wrapper (/usr/lib/node_modules/pm2/node_modules/async/internal/once.js:12:16)
0|Mindful AI  |     at next (/usr/lib/node_modules/pm2/node_modules/async/waterfall.js:96:20)
0|Mindful AI  |     at /usr/lib/node_modules/pm2/node_modules/async/internal/onlyOnce.js:12:16
0|Mindful AI  |     at WriteStream.<anonymous> (/usr/lib/node_modules/pm2/lib/Utility.js:186:13)
0|Mindful AI  |     at WriteStream.emit (node:events:514:28)
0|Mindful AI  |     at FSReqCallback.oncomplete (node:fs:200:23)
PM2           | App name:Mindful AI id:0 disconnected
PM2           | App [Mindful AI:0] exited with code [0] via signal [SIGINT]
PM2           | App [Mindful AI:0] starting in -cluster mode-
PM2           | App [Mindful AI:0] online",Zero-shot
"App name:Mindful AI id:0 disconnected
PM2           | App [Mindful AI:0] exited with code [0] via signal [SIGINT]
PM2           | App [Mindful AI:0] starting in -cluster mode-
PM2           | App [Mindful AI:0] online
0|Mindful AI  | Error [ERR_REQUIRE_ESM]: require() of ES Module /home/bitnami/NodeJSServer/MindfulAI/node_modules/node-fetch/src/index.js from /home/bitna
mi/NodeJSServer/MindfulAI/WhisperTranscriberServer.js not supported.
0|Mindful AI  | Instead change the require of index.js in /home/bitnami/NodeJSServer/MindfulAI/WhisperTranscriberServer.js to a dynamic import() which is 
available in all CommonJS modules.
0|Mindful AI  |     at Hook._require.Module.require (/usr/lib/node_modules/pm2/node_modules/require-in-the-middle/index.js:101:39)
0|Mindful AI  |     at Object.<anonymous> (/home/bitnami/NodeJSServer/MindfulAI/WhisperTranscriberServer.js:5:15)
0|Mindful AI  |     at Hook._require.Module.require (/usr/lib/node_modules/pm2/node_modules/require-in-the-middle/index.js:101:39)
0|Mindful AI  |     at Object.<anonymous> (/home/bitnami/NodeJSServer/MindfulAI/server.js:25:20)
0|Mindful AI  |     at /usr/lib/node_modules/pm2/lib/ProcessContainer.js:304:25
0|Mindful AI  |     at wrapper (/usr/lib/node_modules/pm2/node_modules/async/internal/once.js:12:16)
0|Mindful AI  |     at next (/usr/lib/node_modules/pm2/node_modules/async/waterfall.js:96:20)
0|Mindful AI  |     at /usr/lib/node_modules/pm2/node_modules/async/internal/onlyOnce.js:12:16
0|Mindful AI  |     at WriteStream.<anonymous> (/usr/lib/node_modules/pm2/lib/Utility.js:186:13)
0|Mindful AI  |     at WriteStream.emit (node:events:514:28)
0|Mindful AI  |     at FSReqCallback.oncomplete (node:fs:200:23)",Zero-shot
change the script so that it waits for minimum 5 minutes  before the next retry attempt,Zero-shot
I used `docker compose exec broker kafka-topics --bootstrap-server broker:29092 --describe  --topic purchases`,Instructional
"this is the result i received:
`
Topic: purchases        TopicId: WCI5Zp9xSROYNC2KK2Gn7g PartitionCount: 1       ReplicationFactor: 1    Configs: 
        Topic: purchases        Partition: 0    Leader: 1       Replicas: 1     Isr: 1
`
So how do I allow multiple, preveribly infinite to keep it scalable, consumers on this topic?",Zero-shot
"Check the localListLine for emptyness instead. Original goal, full script again:",Instructional
"My website, https://www.scottatron.com is a static [Hugo](https://gohugo.io) site hosted on Netlify. 

The source is in a private GitHub repo, and after Netlify successfully builds and deploys the latest version, a GitHub Actions workflow is triggered which builds a PDF version of the home page and stores it as a versioned GitHub release artifact.

I'd like to automatically make the latest version of that PDF available on my website by visiting the URL https://www.scottatron.com/CV.pdf

The resulting PDF download should use the original versioned filename so that people are clear which version they're looking at if they download it.

Could you please suggest how I can achieve this using Netlify and GitHub?",Zero-shot
The starting cell is C8,Zero-shot
is there a way this can be ran as a standalone program without need to install anything?,Zero-shot
can you explain how to print the name of a excel workbook?,Instructional
it seems the script is not finding C column in Dashboard sheet,Zero-shot
"In the final excel where all the data is consolidated, can you insert a new column in the first position and name the column ""Total"". The cells in the column total will hold the result from the sums of all the values that are in the columns in the same row. You need to do this with all the rows with data.",Zero-shot
"it worked fine,",Zero-shot
"Now, modify the script to sum all the values located in the C3 cell in all the Dashboards sheets.  Multiply the total  by 3, and write the result in new_dashboard_data.xlsx  in the cell B35. In A35 write ""Total Puntos:""  .",Zero-shot
"I can see the word 'Total Puntos:' in the right place, but in b35 I don't the result that I requested",Zero-shot
worked fine,Zero-shot
"move the word ""Total Puntos:"" and the result to C35 and D35",Zero-shot
"Now, change the label of A1 to Estudiantes. Then, Inserta una columna despues de la columna Estudiantes y nombrala ""Nota"".  La columna nota va a mostrar el resultado del siguiente calculo: Tomar el valor de la celda correspondiente de la columna total empezando en la posicion 2, y lo multiplicas * 0.6",Zero-shot
No se ve la columna nota,Zero-shot
"change this line of code ""df.insert(1, 'Nota', df['Total'] * 0.6)"" for this one ""df.insert(1, 'Nota', df['Total'] * (100 / total_puntos) )""",Zero-shot
"add this line ""df.insert(2, 'Porcentaje', df['Nota'] * 0.6 )"" after the line code ""df.insert(1, 'Nota', df['Total'] * (100 / total_puntos))""",Zero-shot
write the complete script,Zero-shot
"rename the ""total"" column to ""Puntos Obtenidos"" after all calculations are done.",Zero-shot
"can you make the values in column ""Nota"" be rounded following this rules: if decimals are 0.49 or less, it will be rounded to the floor. If decimals are 0.50 or more, it will be rounded to the roof. Also, only use two decimals after the comma. Do this formating at the end, don't use the rounded format to calculate the percentage.",Zero-shot
"Make the column ""Porcentaje"" only use two decimals after the comma. Also,  take the values in column ""Porcentaje""  and round them following this rules: if decimals are 0.49 or less, it will be rounded to the floor. If decimals are 0.50 or more, it will be rounded to the roof. Create an additional column called Porcentaje_rondeado, and put the rounded data there. Make sure this column is located as the third column",Zero-shot
It worked fine.,Zero-shot
"I have a software component that I can ask to host objects for me via a method called ""hostNew"". I would also like a method that does the opposite. Help me select the name of that method.",Zero-shot
"release might be a good name. 

The hostNew method actually does two things: it first constructs the object (based on some parameters) and than it starts hosting the object. 

The opposite method would do the reversel; it stops hosting the object and than destructs it.

Would ""release"" reflect the full extend of the opposite method?",Zero-shot
I do would like to keep the two steps together in one method. So seperation is not what I want.,Zero-shot
"Ok. One of those might work. 

Let me first ask another question. I've named hosting method hostNew. Does that reflect well that it is also constructing the object to host?",Zero-shot
"Ok. Based on our conversation so far I would currently go for these 2 method names:

- createAndHost
- releaseAndDestroy

I think they reflect what the methods are doing.

I am however not yet fully convinced. Shall I explain the reason for that?",Instructional
Are you familiar with the minecraft extension computercraft?,Zero-shot
"Yes, as said they might do the trick, but it's a little more complex than that. Let me give you more context:",Zero-shot
You perfectly guessed the concern I had with the overly long method names. That is great!,Zero-shot
"I am still not 100% sure though on the final names for, essentially the 4 methods in Host. 

Could you summarise the 4 methods, with the names we have so far? Than we can continue from there.",Zero-shot
"Thank you. I have a few thoughts on these. Let me list them:

1) What makes you included MObj in the name of methods 3 and 4, and not in 1 and 2? What do you intend to reflect with this?
2) We initially had the names buildAndCreateAndHost and releaseAndDestroyAndDismantle for methods 3 and 4. They indeed are too long. Hence you came up with the new names createHostedMObj and releaseAndDismantleMObj. We could also have decided to make the method names 1 and 2 shorter (i.e. without the And). And based on those names construct simpler method names for 3 and 4. What do you think of that?
3) In the current suggestion both methods 1 and 2 start with ""create"". Is that on purpose?",Instructional
"Yes, this indeed is better. Let's continue with this baseline for now.",Zero-shot
"Let's focus on methods 1 and 2, i.e. createAndHost and releaseAndDestroy. Is there a way we can make those names more consise, i.e. without using ""and""? But still have the same meaning?",Zero-shot
"Yes, I think we are one step further. Let's keep hostMObj and releaseMObj as baseline for method 1 and 2.

Two discussion points for methods 3 and 4:
1) method name 4 contains ""and"", while method 3 doesn't have it. Is there a good reason to do that?
2) both method names start with the physical aspect of what the method does, i.e. building and dismantling. Followed by the more logical part. This on one hand is clear. One possible concern with this might be that for method 4 the dismantling is done after the logical part (releasing). I am not sure yet what is better here. Do you?",Zero-shot
"Ok. Based on the discussion so far I think I would go for these names:

1) hostMObj
2) releaseMObj
3) buildAndHostMObj
4) releaseAndDismantleMObj

What do you think?",Zero-shot
how can I create a task in jira via it's api using node,Zero-shot
"ok cool. I want you to generate an npm package, following clean architecture, that uses the above approach at it's core but allows reading tasks to be created from a csv file.",Zero-shot
Can you write a bash script to generate this package?,Zero-shot
Now can you generate an example csv file with appropriate headers and a single example entry?,Zero-shot
Can you make the jiraGateway.js file use dotenv to configure the jiraClient instance?,Zero-shot
Can you create a gitignore file for this package that doesn't include .csv files?,Zero-shot
Never mind,Zero-shot
"At gitStatusValue.data.map, go to files before map:  gitStatusValue.data.files.map",Zero-shot
"ok, but put sanitizeAndResolvePath to backend/fileutils/sanitizeAndResolvePath.js",Zero-shot
"Put the service to service/files/fileReadService.js and name it accordingly.
Put the component to components/files/ Create both dirs. Use the same goal.",Zero-shot
"OK, but I need the full script again fixed, with the same goal.",Zero-shot
"We don't need that second if, because we already initialized the repo in that case. Am I right?",Zero-shot
"observer is overkill. When the prop changes, not the dom.",Zero-shot
why oncleanup?,Zero-shot
"[vite] Internal server error: Failed to resolve import ""../getBaseUrl"" from ""src/frontend/service/fetchers/fetchRepoInfo.js"". Does the file exist?

No need for .js

The full script, same goal!",Zero-shot
coverpage: true adds the cover page. no need for homepage config,Zero-shot
Use the new classes,Zero-shot
give me an intermediate coding exercise for C programming language,Zero-shot
"src/frontend/getBaseUrl.js

Output the full script with the original goal.",Zero-shot
"AutoGrowingTextarea.jsx:17 Uncaught TypeError: Cannot read properties of undefined (reading 'addEventListener')
    at _$$component.location (AutoGrowingTextarea.jsx:17:11)",Instructional
Output the full script with the original goal,Zero-shot
Only log once when disabled. make it a warn.,Zero-shot
Could not autowire. No beans of 'JwtUtils' type found.,Zero-shot
"In JwtUtils, how Am I supposed to create my rsa pub and private keys",Zero-shot
And where is the public key ?,Zero-shot
and what is the private key id ?,Zero-shot
"I am doing this : 

 byte[] publicKeyBytes = Files.readAllBytes(Paths.get(""jwtkeys/jwtRS256.key.pub""));

But how to have the path to root of the project ?",Zero-shot
"tell me if its the good format, i generated them with thses commands : 

ssh-keygen -t rsa -b 4096 -m PEM -f jwtRS256.key
# Don't add passphrase
openssl rsa -in jwtRS256.key -pubout -outform PEM -out jwtRS256.key.pub
cat jwtRS256.key
cat jwtRS256.key.pub",Zero-shot
i got invalid key format,Zero-shot
the problem came from the public key apparentlu,Zero-shot
But can you help me creating the LoginRequest ?,Zero-shot
But can't I do this in a user ?,Zero-shot
and How can I do the logout request ?,Zero-shot
"Ok and I want also make a route, because for exemple in the front side, If the user click on a redirection to a form page, I want him to be redirected on login page if he isn't logged in",Zero-shot
Isn't that possible with ejs config?,Zero-shot
Great! ejs config should be written only once,Zero-shot
"The flex-related refactor what you did works, but the height is still not full height.",Zero-shot
What do we win with the createEffect in useKeyBindings?,Zero-shot
"But I feel that simply changing the object is enough. At the next keypress, the new bindings will be used",Zero-shot
Great! Factor out the bindings to frontend/config/keyBindings.js with a same-name default exported fn,Zero-shot
Could you replace Col and Row from AntD with Material UI substitue,Zero-shot
apply also other refactoring changes to that file,Zero-shot
I see extra triple apostrophs. Do we need escaping?,Zero-shot
Output only the corrected one!,Zero-shot
"Great but the last row is not fully filled, and  less space is needed between them, and no padding around!",Zero-shot
"I have a legacy web app using React, Contentful, Material UI and MobX I would like you to help me refactor it. What do you need to know?",Zero-shot
ok. Do it for setupFontAwesome,Zero-shot
could you provide a terminal instruction I should write to create that file under src/utils directory,Zero-shot
could you update import of SetupFontAwesome with this directory,Zero-shot
could show updated index.js now,Zero-shot
you forgot about extracted SetupFacebookProvider,Zero-shot
create a git commit command with message of those changes,Zero-shot
my branch is called ai-powered/audit-existing-code,Zero-shot
Could you write an article for medium platform about what we have done together,Zero-shot
"I want this article to be the intro of the series about
Refactoring the whole React codebase with ChatGPT",Zero-shot
I would like to emphasize that this time I would like not to write a single line of code but use only chatGpt for the whole refactoring,Zero-shot
Create a section which would have links to github code and the gist with chatgpt prompts I used here,Zero-shot
write a linkedin post about my refactoring series and add useful hashtags,Zero-shot
"This fails to remove the control chars added by zsh.

console.log(combinedData, cleanedData) logs:

[Jko@MacBook-Pro-5 Junior % [K[?2004h 
Jko@MacBook-Pro-5 Junior % ?2004h

Fix this and use the same goal",Zero-shot
"Put the new file to the same dir, and remove control chars only after concatenation.",Zero-shot
"use just ""Prompt herds"" as title",Zero-shot
Break the large texts to have multiple elements in every roadmap item,Zero-shot
Also install ansi_up,Zero-shot
"Plan:
1. Create the intro and structure for the documentation.
2. Extract and document configurations from the working set.
3. Add examples to the documentation.
./change.sh: line 10: docs/config/env_or_cli.md: No such file or directory

Full script again, same goal, created dir before file",Zero-shot
convert: unable to open image 'src/frontend/assets/favicon.ico': No such file or directory @ error/blob.c/OpenBlob/3537.,Zero-shot
"Error [ERR_MODULE_NOT_FOUND]: Cannot find module '/Users/ko/projects-new/Junior/src/command/updateConfigList/searchFiles' imported from /Users/ko/projects-new/Junior/scripts/updateConfigList.js
at new NodeError (node:internal/errors:388:5)",Instructional
"There are two images, the second one is clickable.",Zero-shot
"Great, but remove ""Click on the image above to watch the video:""",Zero-shot
go back to the root,Zero-shot
Name the file createGitignore.js,Zero-shot
"ReferenceError: writeFileSync is not defined
    at juniorInit (file:///Users/ko/projects-new/Junior/src/init.js:19:3)",Instructional
create me an ansible role which starts caffeine automatic on boot,Zero-shot
